"state","date","coal","conventional_hydroelectric","natural_gas","nuclear","other","other_gases","other_renewables_(total)","petroleum_coke","petroleum_liquids","renewables"
"AK","2001-01-01",7.94770776673529,17.7158156046395,62.2763897008362,0,0,0,0.0147421396436469,0,12.0453447881453,17.7305577442832
"AK","2001-02-01",9.89733909225566,16.4987998176382,61.1563862335147,0,0,0,0.0135489694543976,0,12.4339258871371,16.5123487870926
"AK","2001-03-01",8.84324195430197,17.0056973506042,58.5674016163784,0,0,0,0.0137962750057484,0,15.5698628037097,17.01949362561
"AK","2001-04-01",7.69186696078151,17.3143741124375,59.3515831863441,0,0,0,0.0145283999525269,0,15.6276473404843,17.3289025123901
"AK","2001-05-01",8.4561789360969,17.5639123805673,58.4847540784052,0,0,0,0.0142359914749106,0,15.4809186134557,17.5781483720422
"AK","2001-06-01",8.07595839378366,24.2526700600815,55.7524118654765,0,0,0,0.0143441447201252,0,11.9046155359382,24.2670142048016
"AK","2001-07-01",9.94394547998375,21.7847181477637,56.7916234147222,0,0,0,0.0133592092792346,0,11.4663537482511,21.7980773570429
"AK","2001-08-01",11.1014730843428,21.0096865009305,56.4276170935044,0,0,0,0.012440439266798,0,11.4487828819556,21.0221269401973
"AK","2001-09-01",9.20230065326806,24.1837273457197,55.4871705151476,0,0,0,0.0134340155522161,0,11.1133674703124,24.1971613612719
"AK","2001-10-01",6.68462988806337,23.2736418476358,54.2422585358365,0,0,0,0.0143176764653624,0,15.785152051999,23.2879595241011
"AK","2001-11-01",6.64326867882275,18.1563543076629,57.6954694597793,0,0,0,0.0152364484193071,0,17.4896711053158,18.1715907560822
"AK","2001-12-01",6.04867460452673,20.0169105444817,57.3530896448155,0,0,0,0.015301518794051,0,16.5660236873821,20.0322120632757
"AK","2002-01-01",7.98353896736559,18.3947864117609,56.6625117147992,0,0,0,0.168878688808539,0,16.7902842172658,18.5636651005694
"AK","2002-02-01",8.12495910072492,20.3016730530127,53.9232402405241,0,0,0,0.167414366006704,0,17.4827132397316,20.4690874190194
"AK","2002-03-01",8.35815084493381,19.6079971585088,55.1196363437658,0,0,0,0.171104219887706,0,16.7431114329039,19.7791013783965
"AK","2002-04-01",8.06178900375243,20.636318466992,58.2104771368821,0,0,0,0.17649763433843,0,12.9149177580351,20.8128161013304
"AK","2002-05-01",9.18048296905538,20.4495724594934,56.7696897622095,0,0,0,0.189033779186684,0,13.4112210300551,20.6386062386801
"AK","2002-06-01",6.8314499594717,22.2821723167883,51.7047632670576,0,0,0,0.14246888857102,0,19.0391455681114,22.4246412053593
"AK","2002-07-01",8.40331705921545,22.4266629526043,56.6169910824861,0,0,0,0.167885657069078,0,12.3851432486251,22.5945486096734
"AK","2002-08-01",9.15233923777158,22.9792115938829,54.7829498011047,0,0,0,0.183914118217551,0,12.9015852490233,23.1631257121005
"AK","2002-09-01",9.72297845387975,20.1732356961097,57.0277688264643,0,0,0,0.210386733782998,0,12.8656302897633,20.3836224298927
"AK","2002-10-01",9.41770699007443,20.9849163189319,56.4409012179649,0,0,0,0.205702274479435,0,12.9507731985494,21.1906185934113
"AK","2002-11-01",8.446149976989,25.4688170976026,54.3442890797823,0,0,0,0.185627789763269,0,11.5551160558628,25.6544448873659
"AK","2002-12-01",8.4083755598317,21.9278392922895,57.8094500053152,0,0,0,0.185185470489725,0,11.6691496720738,22.1130247627793
"AK","2003-01-01",8.86893509766856,22.1793937723167,56.4245956731779,0,0,0,0.0912360848561227,0,12.4358393719807,22.2706298571729
"AK","2003-02-01",9.05041157599152,23.2792344908831,55.3375219494847,0,0,0,0.0911320377271818,0,12.2416999459135,23.3703665286103
"AK","2003-03-01",9.34827124941275,26.5402036271307,53.3809347912625,0,0,0,0.0912699978123891,0,10.6393203343817,26.6314736249431
"AK","2003-04-01",8.83393741385471,24.3105824697534,54.4640359385369,0,0,0,0.0912757159630405,0,12.3001684618919,24.4018581857165
"AK","2003-05-01",9.78655994663999,24.2181507420377,53.5284308821077,0,0,0,0.091295647823912,0,12.3755627813907,24.3094463898616
"AK","2003-06-01",7.8363508440727,22.6416001328491,56.8045850431104,0,0,0,0.0911152772133146,0,12.6263487027544,22.7327154100624
"AK","2003-07-01",5.99948385418678,23.985133374923,55.5708186600936,0,0,0,0.0906303278338742,0,14.3539337829627,24.0757637027569
"AK","2003-08-01",6.60191584510621,27.839041908053,51.5173459362401,0,0,0,0.0904139987126063,0,13.9512823118881,27.9294559067656
"AK","2003-09-01",9.4027546782723,28.0841740446764,48.3257810399259,0,0,0,0.0910258836183287,0,14.0962643535071,28.1751999282947
"AK","2003-10-01",9.59149988157271,28.8274218379915,46.8411371980104,0,0,0,0.0912260184746566,0,14.6487150639507,28.9186478564661
"AK","2003-11-01",9.16625596837358,26.096917731391,50.8826038801715,0,0,0,0.0913251688279112,0,13.7628972512361,26.1882429002189
"AK","2003-12-01",9.00949250858062,22.2883974821738,52.2577162252872,0,0,0,0.0913471889762782,0,16.3530465949821,22.3797446711501
"AK","2004-01-01",8.69510474040367,19.6597517893413,56.8564659490734,0,0,0,0.12488928943855,0,14.6637882317431,19.7846410787799
"AK","2004-02-01",9.6206682934211,20.3054462959293,55.9359456265376,0,0,0,0.140915273818175,0,13.9970245102938,20.4463615697474
"AK","2004-03-01",10.2445659998695,23.4269638962892,53.0943283301373,0,0,0,0.145690944420529,0,13.0884508292835,23.5726548407097
"AK","2004-04-01",11.0419757981442,22.7733783422371,54.8951730660866,0,0,0,0.161803857465837,0,11.1276689360663,22.9351821997029
